Timestamp,Cliente,Ambiente,Sección,Descripción,Tiempo (ms),Versión,Muestra,Comentarios
2025-11-04T13:09:07-03:00,Petersen,Testing,Consultas,Consultar 3000 operaciones,243681,V4.686,7,
2025-11-05T10:43:18-03:00,Petersen,Testing,Login,Login,3906,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Dashboard,Ingreso al Dashboard,3484,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Tesorería,1394,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Mesa,1302,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Banco Central,25809,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Intradiario,18134,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Repos,9010,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Operaciones,Modificar una operación de Repos,2443,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Operaciones,Anular una operación de Repos,953,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Operaciones,Dar de alta una operación de Títulos,4356,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Operaciones,Modificar una operación de Títulos,2300,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Operaciones,Anular una operación de Títulos,841,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Límites,Ingresar en Administrar Límites,3359,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Límites,Agregar un límite para un Call,1991,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Límites,Dar de alta una operación de Call afectada por un límite,89556,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Límites,Revisar que la operación afectada por el límite se muestre en el menú Pendiente de Autorización,1322,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Límites,Eliminar el límite creado,2214,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Consultas,Ingresar en consultas de operaciones,4192,V4.686,8,
2025-11-05T10:43:18-03:00,Petersen,Testing,Consultas,Consultar 3000 operaciones,269709,V4.686,8,
2025-11-06T10:21:37-03:00,Petersen,Testing,Login,Login,3394,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Dashboard,Ingreso al Dashboard,3443,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Tesorería,1465,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Dashboard,Cambio de vista a Default Mesa,1288,V4.686,9,
2025-11-06T10:21:37-03:00,Petersen,Testing,Cashflow,Visualizar el cashflow Banco Central,15385,V4.686,9,
